Datum;Abfluss [m³/s];day;month;year;Hydro_Jahr;Jahreszeit;Monat;NQ;MNQ;MQ;MHQ;HQ
1951-04-09 00:00:00;2,561;9;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-10 00:00:00;3,828;10;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-11 00:00:00;3,34;11;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-12 00:00:00;2,956;12;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-13 00:00:00;2,879;13;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-14 00:00:00;2,945;14;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-15 00:00:00;2,701;15;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-16 00:00:00;2,524;16;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-17 00:00:00;2,657;17;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-18 00:00:00;2,55;18;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-19 00:00:00;2,534;19;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-20 00:00:00;2,464;20;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-21 00:00:00;2,362;21;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-22 00:00:00;1,968;22;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-23 00:00:00;2,129;23;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-24 00:00:00;2,404;24;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-25 00:00:00;2,383;25;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-26 00:00:00;2,35;26;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-27 00:00:00;2,367;27;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-28 00:00:00;3,616;28;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-29 00:00:00;2,879;29;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-30 00:00:00;2,282;30;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-05-01 00:00:00;2,07;1;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-02 00:00:00;2,014;2;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-03 00:00:00;1,955;3;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-04 00:00:00;2,05;4;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-05 00:00:00;2,395;5;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-06 00:00:00;1,795;6;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-07 00:00:00;2,096;7;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-08 00:00:00;4,068;8;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-09 00:00:00;2,906;9;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-10 00:00:00;2,573;10;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-11 00:00:00;2,553;11;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-12 00:00:00;2,248;12;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-13 00:00:00;2,02;13;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-14 00:00:00;1,902;14;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-15 00:00:00;2,152;15;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-16 00:00:00;2,268;16;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-17 00:00:00;2,151;17;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-18 00:00:00;2,208;18;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-19 00:00:00;2,14;19;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-20 00:00:00;1,738;20;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-21 00:00:00;2,952;21;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-22 00:00:00;2,928;22;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-23 00:00:00;2,588;23;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-24 00:00:00;2,458;24;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-25 00:00:00;4,156;25;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-26 00:00:00;3,2;26;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-27 00:00:00;2,639;27;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-28 00:00:00;4,516;28;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-29 00:00:00;4,042;29;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
