,Jahr,MO_TT,MO_TX,MO_TN,MO_RR,MO_TT_RCP8.5_Minimum,MO_TT_RCP8.5_Median,MO_TT_RCP8.5_Maximum,MO_TT_RCP4.5_Minimum,MO_TT_RCP4.5_Median,MO_TT_RCP4.5_Maximum,MO_TT_RCP2.6_Minimum,MO_TT_RCP2.6_Median,MO_TT_RCP2.6_Maximum
86,2053.0,,,,,11.178787878787878,11.884848484848485,12.921212121212122,10.736363636363636,11.436363636363637,12.536363636363637,10.3,11.193939393939393,11.887878787878789
87,2054.0,,,,,11.218181818181819,11.927272727272728,12.981818181818182,10.754545454545454,11.454545454545455,12.554545454545455,10.3,11.19090909090909,11.881818181818183
88,2055.0,,,,,11.257575757575758,11.96969696969697,13.042424242424243,10.772727272727272,11.472727272727273,12.572727272727272,10.3,11.187878787878788,11.875757575757577
89,2056.0,,,,,11.296969696969697,12.012121212121212,13.103030303030303,10.790909090909091,11.490909090909092,12.590909090909092,10.3,11.184848484848484,11.86969696969697
90,2057.0,,,,,11.336363636363636,12.054545454545455,13.163636363636364,10.809090909090909,11.50909090909091,12.60909090909091,10.3,11.181818181818182,11.863636363636363
91,2058.0,,,,,11.375757575757575,12.096969696969698,13.224242424242425,10.827272727272726,11.527272727272727,12.627272727272727,10.3,11.178787878787878,11.857575757575757
92,2059.0,,,,,11.415151515151514,12.13939393939394,13.284848484848485,10.845454545454546,11.545454545454545,12.645454545454545,10.3,11.175757575757576,11.851515151515152
93,2060.0,,,,,11.454545454545455,12.181818181818182,13.345454545454546,10.863636363636363,11.563636363636364,12.663636363636364,10.3,11.172727272727272,11.845454545454546
94,2061.0,,,,,11.493939393939394,12.224242424242425,13.406060606060606,10.881818181818181,11.581818181818182,12.681818181818182,10.3,11.16969696969697,11.83939393939394
95,2062.0,,,,,11.533333333333333,12.266666666666667,13.466666666666667,10.9,11.6,12.7,10.3,11.166666666666666,11.833333333333334
96,2063.0,,,,,11.572727272727272,12.309090909090909,13.527272727272727,10.918181818181818,11.618181818181819,12.718181818181819,10.3,11.163636363636362,11.827272727272728
97,2064.0,,,,,11.612121212121211,12.351515151515152,13.587878787878788,10.936363636363636,11.636363636363637,12.736363636363636,10.3,11.16060606060606,11.82121212121212
